Date	Open	High	Low	Close
2023-03-31 12:00:00	15578,23	15599,97	15576,40	15586,35
2023-03-31 11:00:00	15544,52	15584,41	15538,75	15578,43
2023-03-31 10:00:00	15518,02	15568,24	15508,26	15540,44
2023-03-31 09:00:00	15568,37	15570,80	15499,84	15518,06
2023-03-30 17:00:00	15524,51	15535,88	15519,26	15522,40
2023-03-30 16:00:00	15497,81	15529,62	15473,65	15524,51
2023-03-30 15:00:00	15478,62	15499,89	15466,22	15496,95
2023-03-30 14:00:00	15514,59	15514,67	15474,64	15476,82
2023-03-30 13:00:00	15523,86	15536,42	15507,31	15514,61
2023-03-30 12:00:00	15484,38	15525,75	15477,06	15523,87
2023-03-30 11:00:00	15494,18	15505,23	15480,87	15484,31
2023-03-30 10:00:00	15480,43	15508,61	15469,52	15494,09
2023-03-30 09:00:00	15429,38	15504,30	15424,69	15480,43
2023-03-29 17:00:00	15281,71	15328,95	15281,71	15328,78
2023-03-29 16:00:00	15327,49	15334,35	15279,62	15281,53
2023-03-29 15:00:00	15288,14	15342,27	15285,06	15324,81
2023-03-29 14:00:00	15278,95	15289,89	15268,33	15288,11
2023-03-29 13:00:00	15279,51	15289,88	15264,00	15278,83
2023-03-29 12:00:00	15267,32	15282,98	15246,27	15279,59
2023-03-29 11:00:00	15239,18	15287,30	15235,89	15267,45
2023-03-29 10:00:00	15209,01	15247,75	15186,75	15238,54
2023-03-29 09:00:00	15242,52	15249,30	15187,04	15208,09
2023-03-28 17:00:00	15126,90	15146,96	15126,90	15142,02
2023-03-28 16:00:00	15120,37	15156,25	15113,14	15127,12
2023-03-28 15:00:00	15114,72	15138,27	15103,76	15120,47
2023-03-28 14:00:00	15148,62	15159,36	15106,33	15114,72
2023-03-28 13:00:00	15136,22	15171,68	15129,79	15148,49
2023-03-28 12:00:00	15139,39	15161,32	15121,22	15135,98
2023-03-28 11:00:00	15167,71	15184,89	15132,38	15139,45
2023-03-28 10:00:00	15189,17	15205,13	15163,19	15168,26
2023-03-28 09:00:00	15255,93	15261,49	15185,66	15189,09
2023-03-27 17:00:00	15123,18	15136,78	15108,10	15127,68
2023-03-27 16:00:00	15155,61	15159,86	15111,27	15123,26
2023-03-27 15:00:00	15163,35	15185,35	15148,35	15154,71
2023-03-27 14:00:00	15140,63	15166,48	15135,42	15163,20
2023-03-27 13:00:00	15163,43	15179,29	15133,74	15140,38
2023-03-27 12:00:00	15124,78	15175,78	15124,78	15164,39
2023-03-27 11:00:00	15100,74	15135,17	15085,53	15124,78
2023-03-27 10:00:00	15041,84	15108,08	15033,64	15100,71
2023-03-27 09:00:00	15133,68	15166,26	15020,07	15041,75
2023-03-24 17:00:00	14964,45	14984,96	14915,44	14957,23
2023-03-24 16:00:00	14950,09	14964,25	14887,67	14964,05
2023-03-24 15:00:00	14947,44	14958,13	14881,67	14951,85
2023-03-24 14:00:00	14924,29	14969,29	14888,13	14945,20
2023-03-24 13:00:00	14851,72	14939,19	14811,92	14924,18
2023-03-24 12:00:00	14863,34	14897,28	14809,82	14851,72
2023-03-24 11:00:00	14925,88	14930,06	14852,33	14862,69
2023-03-24 10:00:00	15029,47	15051,67	14911,78	14925,97
2023-03-24 09:00:00	15135,50	15135,65	14972,63	15029,48
2023-03-23 17:00:00	15231,74	15242,17	15202,41	15210,39
2023-03-23 16:00:00	15232,63	15244,32	15210,29	15231,90
2023-03-23 15:00:00	15197,65	15232,72	15185,42	15232,28
2023-03-23 14:00:00	15177,20	15198,68	15157,33	15197,03
2023-03-23 13:00:00	15145,81	15189,56	15127,62	15177,48
2023-03-23 12:00:00	15108,94	15148,71	15108,94	15146,74
2023-03-23 11:00:00	15146,92	15148,81	15078,72	15108,93
2023-03-23 10:00:00	15216,99	15216,99	15121,40	15146,92
2023-03-23 09:00:00	15178,25	15231,61	15165,19	15217,11
2023-03-22 17:00:00	15227,39	15230,80	15213,54	15216,19
2023-03-22 16:00:00	15272,28	15277,43	15226,22	15227,25
2023-03-22 15:00:00	15275,04	15295,92	15272,02	15272,70
2023-03-22 14:00:00	15284,03	15284,04	15249,79	15275,58
2023-03-22 13:00:00	15273,47	15291,93	15266,81	15284,07
2023-03-22 12:00:00	15278,66	15298,49	15265,20	15273,47
2023-03-22 11:00:00	15256,50	15296,68	15235,51	15278,72
2023-03-22 10:00:00	15219,98	15270,20	15207,30	15256,13
2023-03-22 09:00:00	15174,67	15229,57	15166,95	15219,71
2023-03-21 17:00:00	15185,99	15204,48	15181,99	15195,34
2023-03-21 16:00:00	15190,17	15217,23	15169,16	15186,83
2023-03-21 15:00:00	15237,78	15253,10	15179,68	15190,19
2023-03-21 14:00:00	15198,14	15241,53	15198,12	15236,15
2023-03-21 13:00:00	15198,69	15217,47	15178,37	15198,14
2023-03-21 12:00:00	15191,27	15203,19	15167,40	15198,69
2023-03-21 11:00:00	15175,82	15211,77	15169,85	15191,38
2023-03-21 10:00:00	15131,44	15178,57	15121,33	15176,41
2023-03-21 09:00:00	15062,06	15145,64	15055,93	15131,77
2023-03-20 17:00:00	14943,93	14951,92	14898,98	14933,38
2023-03-20 16:00:00	14940,29	14980,43	14938,30	14943,13
2023-03-20 15:00:00	14917,87	14943,63	14887,90	14941,09
2023-03-20 14:00:00	14906,43	14922,59	14838,53	14917,79
2023-03-20 13:00:00	14855,44	14918,36	14822,55	14906,51
2023-03-20 12:00:00	14877,67	14891,25	14832,72	14855,64
2023-03-20 11:00:00	14774,26	14880,24	14747,89	14878,16
2023-03-20 10:00:00	14690,75	14789,80	14666,57	14774,81
2023-03-20 09:00:00	14715,40	14715,40	14458,39	14687,81
2023-03-17 17:00:00	14765,94	14785,40	14757,95	14768,20
2023-03-17 16:00:00	14719,84	14782,64	14694,26	14766,23
2023-03-17 15:00:00	14798,00	14849,47	14702,00	14722,26
2023-03-17 14:00:00	14797,26	14832,27	14768,95	14791,16
2023-03-17 13:00:00	14946,20	14963,52	14783,03	14796,73
2023-03-17 12:00:00	15021,92	15021,92	14918,09	14945,68
2023-03-17 11:00:00	15065,72	15065,72	15002,90	15024,60
2023-03-17 10:00:00	15079,62	15106,08	15050,31	15065,69
2023-03-17 09:00:00	15073,76	15153,11	15065,22	15079,62
2023-03-16 17:00:00	14992,97	14999,03	14947,57	14967,10
2023-03-16 16:00:00	14948,10	15018,31	14880,58	14992,95
2023-03-16 15:00:00	14900,58	14951,57	14730,83	14948,15
2023-03-16 14:00:00	14784,61	14900,79	14664,17	14900,79
2023-03-16 13:00:00	14834,02	14843,52	14753,09	14784,66
2023-03-16 12:00:00	14833,61	14874,39	14771,94	14834,02
2023-03-16 11:00:00	14821,60	14859,97	14795,26	14833,72
2023-03-16 10:00:00	14854,06	14870,24	14763,61	14821,45
2023-03-16 09:00:00	14973,84	14990,24	14854,08	14854,08
2023-03-15 17:00:00	14806,52	14823,45	14710,42	14735,26
2023-03-15 16:00:00	14822,82	14852,98	14800,09	14806,66
2023-03-15 15:00:00	14792,15	14868,06	14753,05	14822,53
2023-03-15 14:00:00	14770,25	14867,65	14758,62	14793,71
2023-03-15 13:00:00	14823,54	14863,45	14756,02	14771,82
2023-03-15 12:00:00	14776,87	14861,94	14776,87	14824,52
2023-03-15 11:00:00	14992,29	15017,52	14702,91	14774,81
2023-03-15 10:00:00	15157,14	15159,49	14974,38	14992,03
2023-03-15 09:00:00	15175,44	15246,17	15151,08	15156,53
2023-03-14 17:00:00	15235,75	15253,64	15214,81	15232,83
2023-03-14 16:00:00	15208,93	15268,21	15199,54	15235,58
2023-03-14 15:00:00	15227,43	15272,11	15206,14	15208,51
2023-03-14 14:00:00	15191,88	15263,37	15176,66	15227,43
2023-03-14 13:00:00	15096,01	15210,32	15039,21	15191,97
2023-03-14 12:00:00	15037,56	15105,88	15034,73	15096,14
2023-03-14 11:00:00	15013,34	15046,17	15004,60	15037,79
2023-03-14 10:00:00	15063,47	15067,10	14973,19	15013,76
2023-03-14 09:00:00	15016,53	15073,51	14951,71	15063,52
2023-03-13 17:00:00	15014,98	15053,64	14959,47	14959,47
2023-03-13 16:00:00	15020,45	15058,09	14975,66	15014,94
2023-03-13 15:00:00	15032,89	15037,19	14915,51	15019,28
2023-03-13 14:00:00	14973,04	15044,34	14887,44	15032,03
2023-03-13 13:00:00	15044,25	15047,40	14912,43	14970,78
2023-03-13 12:00:00	15088,32	15128,25	15023,86	15045,05
2023-03-13 11:00:00	15015,48	15103,85	14984,13	15088,17
2023-03-13 10:00:00	15133,82	15146,30	14913,98	15016,20
2023-03-13 09:00:00	15435,16	15435,81	15121,70	15134,27
2023-03-10 17:00:00	15389,37	15427,97	15375,78	15427,97
2023-03-10 16:00:00	15361,94	15391,96	15331,84	15389,85
2023-03-10 15:00:00	15466,43	15483,85	15322,29	15364,13
2023-03-10 14:00:00	15429,73	15495,87	15377,38	15466,75
2023-03-10 13:00:00	15433,42	15453,47	15419,72	15429,73
2023-03-10 12:00:00	15368,91	15445,27	15368,91	15433,66
2023-03-10 11:00:00	15388,06	15431,08	15367,17	15368,59
